id,tieu_chi,nhan,ghi_chu
J01_ke_toan,Tốt nghiệp Cao đẳng trở lên chuyên ngành Kế toán - Kiểm toán,GIAYTO,Nhìn bằng là xong — đúng ca rubric nêu đích danh
J01_ke_toan,Có tối thiểu 2 năm kinh nghiệm ở vị trí kế toán tổng hợp,DUNG,
J01_ke_toan,Nắm vững chế độ kế toán và luật thuế hiện hành,DUNG,"PHÂN VÂN: chế độ kế toán và luật thuế là hai khối kiến thức, nhưng phỏng vấn cho một điểm 'kiến thức pháp lý chuyên môn' — theo tiền lệ 'đàm phán và thuyết phục' trong rubric nên để DUNG. Lật sang GOP cũng có lý"
J01_ke_toan,Sử dụng thành thạo phần mềm kế toán MISA hoặc Fast,DUNG,Rubric chốt sẵn: MISA/Fast là hai biến thể một thứ
J01_ke_toan,"Thành thạo Excel (hàm SUMIF, VLOOKUP, PivotTable)",DUNG,Ngoặc đơn là ví dụ của cùng một kỹ năng Excel
J01_ke_toan,Cẩn thận,DUNG,AI tách đúng từ dòng gộp 3 tính cách
J01_ke_toan,Trung thực,DUNG,
J01_ke_toan,Chịu được áp lực mùa quyết toán,DUNG,Rubric chốt: chịu áp lực = DUNG nếu tin có nêu
J02_kinh_doanh,Kinh nghiệm bán hàng B2B,DUNG,
J02_kinh_doanh,Kỹ năng đàm phán và thuyết phục,DUNG,Máy đếm là GOP nhưng rubric chốt đây gần như một kỹ năng
J02_kinh_doanh,"Kỹ năng giao tiếp, xây dựng quan hệ khách hàng",DUNG,"PHÂN VÂN: giao tiếp và xây dựng quan hệ khách hàng là một cụm năng lực đối nhân, chấm một điểm"
J02_kinh_doanh,Chủ động tìm kiếm khách hàng mới,DUNG,AI tách đúng khỏi 'chịu được áp lực doanh số'
J02_kinh_doanh,Có thể chịu được áp lực doanh số,DUNG,
J02_kinh_doanh,Đã có tệp khách hàng ngành xây dựng (ưu tiên),DUNG,"KHÔNG phải GIAYTO: CV không ghi tệp khách hàng, phải hỏi mới biết và hỏi được sâu nông"
J03_kho_van,Tốt nghiệp THPT trở lên,GIAYTO,
J03_kho_van,"Biết sử dụng máy tính văn phòng cơ bản (Word, Excel)",DUNG,
J03_kho_van,"Cẩn thận, trung thực trong kiểm đếm hàng hóa",GOP,"Chính AI tách được 'cẩn thận / trung thực' ở J01 mà ở đây lại gộp — hai tính cách khác nhau, phải hai điểm"
J03_kho_van,Kinh nghiệm vận hành xe nâng,DUNG,
J03_kho_van,Quản lý kho,DAUVIEC,"PHÂN VÂN: lấy từ ô skill_tags nên có căn cứ, nhưng để trần là danh từ công việc trùng chính jd_text ('sắp xếp hàng hóa trong kho'), không phải năng lực chấm được"
J03_kho_van,Kiểm kê,DAUVIEC,"Cùng lý do dòng trên — 'Kiểm kê định kỳ' là một gạch đầu dòng trong mô tả công việc. Đây là chỗ AI độn thêm tiêu chí từ skill_tags khi phần yêu cầu mỏng"
J04_dotnet,Kinh nghiệm với C#,DUNG,AI tách đúng khỏi ASP.NET Core
J04_dotnet,Kinh nghiệm với ASP.NET Core,DUNG,
J04_dotnet,Kinh nghiệm với Entity Framework,DUNG,Tách đúng dòng 3 kỹ năng mà rubric nêu đích danh là ca phải tách
J04_dotnet,Kinh nghiệm với REST API,DUNG,
J04_dotnet,Kinh nghiệm với kiến trúc microservices,DUNG,
J04_dotnet,Thành thạo SQL Server,DUNG,
J04_dotnet,Viết được stored procedure,DUNG,Tách khỏi SQL Server là đúng — biết SQL chưa chắc viết được SP
J04_dotnet,Sử dụng được Git trong quy trình làm việc nhóm,DUNG,
J04_dotnet,Tiếng Anh đọc hiểu tài liệu kỹ thuật,DUNG,Rubric chốt: tiếng Anh không kèm chứng chỉ = DUNG
J04_dotnet,"Tư duy phân tích, giải quyết vấn đề độc lập",DUNG,"PHÂN VÂN: hai vế gần đồng nghĩa trong phỏng vấn, chấm một điểm"
J05_hanh_chinh,"Tốt nghiệp Đại học các ngành Quản trị nhân lực, Luật hoặc tương đương",GIAYTO,
J05_hanh_chinh,Có 1 năm kinh nghiệm ở vị trí hành chính nhân sự,DUNG,
