id_tin,so_moc_phai_co,so_moc_bi_bo_sot,ghi_chu
C01_khong_ghi_so_nam,4,0,
C02_ketoan_khop,5,0,
C03_fresher_mong,3,1,Mất 'Cao đẳng FPT'
C04_trai_nganh,3,1,Mất 'bất động sản'
C05_nhay_viec_nhieu_moc,3,2,Không nêu nơi làm hiện tại (VietTravel); gộp thành 'tổng đài và tư vấn' — mất ý nhiều nơi làm
C06_text_pdf_lon_xon,3,0,
C07_song_ngu,4,1,Mất 'ĐH Ngoại thương'
C08_thanh_tich_nhieu_so,4,0,
C09_khoang_trong_su_nghiep,4,3,"Mất cả giai đoạn 2016–2020, khoảng nghỉ 2 năm, 'ĐH Lao động Xã hội'"
C10_liet_ke_cong_nghe,4,0,
