STT,Version,JD_id,Skill,Câu hỏi (đầy đủ),Correctness,Relevance,Distractor,Tình huống,Rõ ràng,Điểm TB,Đạt,Ghi chú
1,v5_self_critique,dev_dotnet_junior,C# OOP,"Bạn đang phát triển một ứng dụng quản lý thư viện. Bạn cần tạo một lớp `Sach` (Sách) để lưu thông tin sách, trong đó có các thuộc tính như `MaSach`, `TenSach`, `TacGia`. Để đảm bảo `MaSach` luôn duy nhất, bạn nên sử dụng phương thức nào sau đây?
A. Tạo một phương thức `SetMaSach()` để gán giá trị cho `MaSach`
B. Thêm thuộc tính `MaSach` làm thuộc tính chỉ đọc (`readonly`) và khởi tạo trong constructor  ✓
C. Thêm phương thức `GetMaSach()` để trả về giá trị của `MaSach`
D. Tạo một phương thức `CheckMaSachUniqueness()` để kiểm tra sự duy nhất của `MaSach`",,,,,,,,
2,v5_self_critique,dev_dotnet_junior,LINQ,"Công ty bạn cần lấy danh sách các sản phẩm có giá bán trên 100.000 đồng từ bảng Products để hiển thị trên trang quản trị. Bạn muốn tối ưu hóa truy vấn để tránh việc lặp qua toàn bộ bảng. Cách làm nào sau đây là hiệu quả nhất?
A. Sử dụng LINQ với câu lệnh `var result = from p in Products where p.Price > 100000 select p;`
B. Sử dụng phương thức `Where` và `Select` của LINQ: `var result = Products.Where(p => p.Price > 100000).ToList();`
C. Lặp qua toàn bộ bảng Products bằng vòng lặp for và kiểm tra điều kiện giá bán.
D. Tạo một index trên cột Price trước khi thực hiện truy vấn.  ✓",,,,,,,,
3,v5_self_critique,dev_dotnet_junior,HTTP/REST,"Một ứng dụng RESTful API của bạn nhận được nhiều yêu cầu GET từ một client không tin cậy, dẫn đến việc sử dụng quá nhiều tài nguyên. Cách tốt nhất để giải quyết vấn đề này là gì?
A. Tăng số lượng worker thread trong server
B. Thêm rate limiting vào endpoint  ✓
C. Đổi phương thức HTTP từ GET thành POST
D. Thay đổi API thành giao diện SOAP",,,,,,,,
4,v5_self_critique,dev_dotnet_junior,HTTP/REST,"Bạn nhận được yêu cầu từ client cần lấy danh sách sản phẩm theo loại, nhưng số lượng sản phẩm lớn và thường xuyên thay đổi. Để tối ưu hóa hiệu suất truy vấn, bạn nên làm gì?
A. Tạo một index trên cột Loại
B. Thực hiện truy vấn SQL phức tạp hơn
C. Sử dụng phương thức HTTP POST thay vì GET
D. Lưu danh sách sản phẩm trong bộ nhớ cache  ✓",,,,,,,,
5,v5_self_critique,dev_dotnet_junior,"SQL SELECT, JOIN","Có hai bảng Orders và OrderDetails. Bảng Orders chứa thông tin đơn hàng, trong khi OrderDetails lưu chi tiết từng sản phẩm trong mỗi đơn hàng. Bạn cần lấy ra danh sách các đơn hàng cùng với tổng số lượng của từng sản phẩm. Cách thực hiện đúng là gì?
A. SELECT o.OrderId, SUM(od.Quantity) FROM Orders o JOIN OrderDetails od ON o.OrderId = od.OrderId GROUP BY o.OrderId  ✓
B. SELECT o.OrderId, SUM(od.Quantity) FROM Orders o INNER JOIN OrderDetails od ON o.OrderId = od.OrderId ORDER BY o.OrderId
C. - Lỗi hiểu sai: Người ta thường nhầm lẫn giữa `GROUP BY` và `ORDER BY`.
D. SELECT o.OrderId, SUM(od.Quantity) FROM Orders o LEFT JOIN OrderDetails od ON o.OrderId = od.OrderId GROUP BY o.OrderId",,,,,,,,
6,v5_self_critique,dev_dotnet_junior,"SQL SELECT, JOIN","Bạn cần lấy ra danh sách các sản phẩm mà khách hàng đã mua trong năm nay. Bảng Customers chứa thông tin về khách hàng, Orders chứa thông tin đơn hàng và OrderDetails lưu chi tiết từng sản phẩm. Cách thực hiện đúng là gì?
A. SELECT p.ProductName FROM Products p JOIN (SELECT ProductId FROM OrderDetails WHERE OrderId IN (SELECT OrderId FROM Orders WHERE YEAR(OrderDate) = YEAR(CURRENT_DATE()))) od ON p.ProductId = od.ProductId
B. - Lỗi hiểu sai: Người ta thường nhầm lẫn giữa `JOIN` và `IN`.  ✓
C. SELECT p.ProductName FROM Products p INNER JOIN OrderDetails od ON p.ProductId = od.ProductId WHERE od.OrderId IN (SELECT OrderId FROM Orders WHERE YEAR(OrderDate) = YEAR(CURRENT_DATE()))
D. - Đáp án đúng, nhưng để đáp án này ở vị trí thứ hai để tăng độ khó.",,,,,,,,
7,v5_self_critique,dev_dotnet_junior,"SQL SELECT, JOIN","Bảng Employees chứa thông tin nhân viên, trong khi Orders lưu thông tin đơn hàng. Bạn cần lấy ra danh sách các nhân viên cùng với tổng số lượng đơn hàng họ đã thực hiện. Cách thực hiện đúng là gì?
A. SELECT e.EmployeeName, COUNT(o.OrderId) FROM Employees e JOIN Orders o ON e.EmployeeId = o.EmployeeId GROUP BY e.EmployeeId  ✓
B. SELECT e.EmployeeName, COUNT(o.OrderId) FROM Employees e INNER JOIN Orders o ON e.EmployeeId = o.EmployeeId ORDER BY e.EmployeeId
C. - Lỗi hiểu sai: Người ta thường nhầm lẫn giữa `GROUP BY` và `ORDER BY`.
D. SELECT e.EmployeeName, COUNT(o.OrderId) FROM Employees e LEFT JOIN Orders o ON e.EmployeeId = o.EmployeeId GROUP BY e.EmployeeId",,,,,,,,
8,v5_self_critique,dev_dotnet_junior,Entity Framework Core,"Khi sử dụng Entity Framework Core để quản lý cơ sở dữ liệu của một cửa hàng bán lẻ, bạn phát hiện rằng tốc độ truy vấn thông tin về các sản phẩm chậm dù đã tối ưu hóa chỉ mục. Cách tiếp cận nào sau đây sẽ giúp cải thiện hiệu suất?
A. Tăng số lượng CPU trên máy chủ
B. Thay đổi phương thức truy vấn từ Include() sang ThenInclude()
C. Đổi Entity Framework Core thành ADO.NET
D. Thêm chỉ mục compound lên các cột thường được lọc cùng nhau  ✓",,,,,,,,
9,v5_self_critique,dev_dotnet_junior,Entity Framework Core,"Bạn cần thiết kế một hệ thống quản lý đơn hàng (Order) và chi tiết đơn hàng (OrderDetail). Trong trường hợp này, thuộc tính nào trong lớp Order sẽ được sử dụng để liên kết với nhiều OrderDetail?
A. public virtual ICollection<OrderDetail> OrderDetails { get; set; }  ✓
B. public virtual List<OrderDetail> Details { get; set; }
C. public virtual IEnumerable<OrderDetail> Orders { get; set; }
D. public virtual OrderDetail Detail { get; set; }",,,,,,,,
10,v5_self_critique,dev_dotnet_junior,API RESTful,"Bạn đang phát triển một API RESTful cho ứng dụng quản lý dự án. Trong quá trình thử nghiệm, bạn nhận thấy rằng khi nhiều người dùng cùng lúc truy cập vào API để lấy danh sách các dự án của họ, thời gian phản hồi trở nên chậm chạp. Bạn đã kiểm tra và xác định rằng vấn đề nằm ở việc xử lý dữ liệu trong hàm xử lý yêu cầu. Để cải thiện hiệu suất, bạn nên làm gì?
A. Tăng số lượng CPU trên máy chủ
B. Sử dụng LINQ để tối ưu hóa truy vấn cơ sở dữ liệu
C. Chuyển đổi từ phương thức GET sang POST cho tất cả các API
D. Tách xử lý dữ liệu ra khỏi hàm xử lý yêu cầu và sử dụng Task.Run để thực hiện đồng thời  ✓",,,,,,,,
