STT,Version,JD_id,Skill,Câu hỏi (đầy đủ),Correctness,Relevance,Distractor,Tình huống,Rõ ràng,Điểm TB,Đạt,Ghi chú
1,v3_fewshot,dev_dotnet_junior,C# OOP,"Trong C#, khi sử dụng lớp基线代码需要翻译成中文，以下是修改后的版本：````json
{
A. public class Program { public void Main() { Console.WriteLine(""Hello World""); } }
B. class Program { static void Main(string[] args) { Console.WriteLine(""Hello World""); } }
C. class Program { public void Main() { Console.WriteLine(""Hello World""); } }
D. public class Program { static void Main(string[] args) { Console.WriteLine(""Hello World""); } }  ✓",,,,,,,,
2,v3_fewshot,dev_dotnet_junior,C# OOP,"Trong C#, phương thức nào sau đây không thuộc lớp Object?
A. ToString()
B. Equals()
C. GetHashCode()
D. Add()  ✓",,,,,,,,
3,v3_fewshot,dev_dotnet_junior,LINQ,"Để lọc ra tất cả các sản phẩm có giá bán trên 100.000 từ bảng Products sử dụng LINQ, câu lệnh nào sau đây là chính xác?
A. var result = from p in Products where p.Price < 100000 select p;
B. var result = from p in Products where p.Price > 100000 select p;  ✓
C. var result = Products.Where(p => p.Price <= 100000);
D. var result = Products.FindAll(p => p.Price >= 100000);",,,,,,,,
4,v3_fewshot,dev_dotnet_junior,HTTP/REST,"Trong HTTP/REST, phương thức nào được sử dụng để tạo một tài nguyên mới trên server?
A. GET
B. POST  ✓
C. PUT
D. DELETE",,,,,,,,
5,v3_fewshot,dev_dotnet_junior,"SQL SELECT, JOIN","Trong truy vấn SQL, nếu bạn muốn lấy tất cả các sản phẩm từ bảng Products mà chỉ hiển thị những sản phẩm có giá trên 1000, câu lệnh SELECT nào sau đây là đúng?
A. SELECT * FROM Products WHERE Price < 1000
B. SELECT * FROM Products WHERE Price > 1000  ✓
C. SELECT ProductName FROM Products WHERE Price = 1000
D. SELECT * FROM Products WHERE Price >= 1000",,,,,,,,
6,v3_fewshot,dev_dotnet_junior,"SQL SELECT, JOIN","Để lấy ra danh sách các sản phẩm từ bảng Products và danh sách các đơn hàng từ bảng Orders, đồng thời kết hợp (JOIN) dựa trên ID Sản phẩm, câu lệnh SQL nào sau đây là đúng?
A. SELECT * FROM Products JOIN Orders ON ProductID
B. SELECT * FROM Products INNER JOIN Orders ON Products.ProductID = Orders.ProductID  ✓
C. SELECT * FROM Products LEFT JOIN Orders ON ProductID
D. SELECT * FROM Products RIGHT JOIN Orders ON ProductID",,,,,,,,
7,v3_fewshot,dev_dotnet_junior,Entity Framework Core,"Trong Entity Framework Core, để thực hiện một truy vấn LINQ trả về danh sách các đối tượng Customer có tên bắt đầu với 'A', bạn sẽ sử dụng phương thức nào sau đây?
A. Customer.Where(c => c.Name.StartsWith('A')).ToList()  ✓
B. Customer.FindAll(c => c.Name == 'A*').ToList()
C. Customer.FirstOrDefault(c => c.Name.StartsWith('A'))
D. Customer.Include(c => c.Name).Where('A*').ToList()",,,,,,,,
8,v3_fewshot,dev_dotnet_junior,API RESTful,"API RESTful nào dưới đây không tuân theo nguyên tắc của HTTP GET method?
A. GET /users
B. GET /users/123
C. POST /login  ✓
D. DELETE /users/123",,,,,,,,
9,v3_fewshot,dev_dotnet_junior,Git,"Trong Git, lệnh nào sau đây dùng để ghi nhận các thay đổi trong code và lưu chúng vào repository?
A. git commit  ✓
B. git push
C. git pull
D. git merge",,,,,,,,
10,v3_fewshot,dev_dotnet_junior,Unit Testing,"Để kiểm tra tính chính xác của hàm TínhThueGiamDoc() trong lớp Thuế, bạn nên sử dụng phương pháp nào sau đây?
A. Kiểm thử chấp nhận
B. Kiểm thử tích hợp
C. Kiểm thử đơn vị  ✓
D. Kiểm thử hệ thống",,,,,,,,
11,v3_fewshot,dev_dotnet_senior,Thiết kế kiến trúc microservices,"Trong kiến trúc microservices, khi một dịch vụ cần truy cập dữ liệu từ một dịch vụ khác, cách tiếp cận tốt nhất là gì?
A. Tạo API REST giữa hai dịch vụ  ✓
B. Chia sẻ cơ sở dữ liệu trực tiếp giữa các dịch vụ
C. Gửi yêu cầu qua giao thức RPC
D. Bảo lưu tất cả dữ liệu vào một bảng duy nhất",,,,,,,,
12,v3_fewshot,dev_dotnet_senior,Thiết kế kiến trúc microservices,"Trong microservices, cách nào sau đây giúp giảm bớt sự phụ thuộc lẫn nhau giữa các dịch vụ?
A. Tăng số lượng dịch vụ
B. Chia nhỏ chức năng thành nhiều dịch vụ nhỏ hơn  ✓
C. Sử dụng chung một cơ sở dữ liệu cho tất cả các dịch vụ
D. Tạo API REST phức tạp",,,,,,,,
13,v3_fewshot,dev_dotnet_senior,.NET Framework,"Trong .NET Framework, lớp nào được sử dụng để thực hiện các tác vụ I/O như đọc và viết tệp?
A. System.IO.Stream  ✓
B. System.Collections.Generic.List
C. System.Linq.Enumerable
D. System.Net.Http",,,,,,,,
14,v3_fewshot,dev_dotnet_senior,"Tối ưu truy vấn Entity Framework Core và SQL Server (index, execution plan, tránh N+1 query)","Trong Entity Framework Core, bạn đang thực hiện truy vấn lấy tất cả các đơn hàng của một khách hàng cụ thể. Để tối ưu hóa hiệu suất và tránh N+1 query, bạn nên làm gì?
A. Tạo một phương thức Include để tải danh sách chi tiết sản phẩm cùng lúc  ✓
B. Thêm chỉ mục trên cột CustomerId trong bảng Orders
C. Sử dụng .AsNoTracking() khi lấy dữ liệu
D. Đổi Entity Framework Core sang ADO.NET",,,,,,,,
15,v3_fewshot,dev_dotnet_senior,"Tối ưu truy vấn Entity Framework Core và SQL Server (index, execution plan, tránh N+1 query)","Khi thực hiện truy vấn SQL Server, bạn nhận thấy execution plan đang sử dụng phương pháp table scan thay vì index seek. Điều này có thể dẫn đến hiệu suất kém. Cách nào sau đây sẽ giúp cải thiện tình hình?
A. Tăng kích thước bộ nhớ cache của SQL Server
B. Thêm chỉ mục hợp lý trên các cột được sử dụng trong điều kiện WHERE  ✓
C. Thay đổi cấu trúc dữ liệu lưu trữ từ In-Memory sang Disk-based
D. Đổi Entity Framework Core thành LINQ to Objects",,,,,,,,
16,v3_fewshot,dev_dotnet_senior,"Tối ưu truy vấn Entity Framework Core và SQL Server (index, execution plan, tránh N+1 query)","Bạn đang viết một truy vấn SQL Server để lấy tổng số tiền của tất cả các đơn hàng. Để tối ưu hóa execution plan, bạn nên làm gì?
A. Sử dụng CTE (Common Table Expression) để phân chia truy vấn thành nhiều phần
B. Thêm chỉ mục trên cột OrderAmount trong bảng Orders  ✓
C. Thay đổi kiểu dữ liệu của cột OrderAmount từ int sang decimal
D. Tăng kích thước bộ nhớ cache của SQL Server",,,,,,,,
17,v3_fewshot,dev_dotnet_senior,API Design and Review,"Khi thiết kế API cho một dịch vụ quản lý dự án, bạn cần đảm bảo tính nhất quán của dữ liệu. Cách tốt nhất để thực hiện điều này là gì?
A. Sử dụng transaction trong quá trình cập nhật  ✓
B. Kiểm tra ràng buộc trước khi gửi yêu cầu
C. Thiết lập cache trên các kết quả API
D. Tăng số lượng máy chủ backend",,,,,,,,
18,v3_fewshot,dev_dotnet_senior,API Design and Review,"Trong quá trình review API, bạn phát hiện một endpoint đang xử lý cả GET và POST nhưng không phân biệt. Điều này có thể dẫn đến vấn đề gì?
A. Vi phạm nguyên tắc DRY
B. Lỗi về tính nhất quán của dữ liệu
C. Rủi ro bảo mật
D. Không tuân thủ RESTful  ✓",,,,,,,,
19,v3_fewshot,dev_dotnet_senior,"Pattern CQRS, Repository, Dependency Injection","Trong kiến trúc CQRS, Repository và Dependency Injection được sử dụng như thế nào để đảm bảo tính linh hoạt và tách biệt giữa các lớp?
A. Repository quản lý giao tiếp với cơ sở dữ liệu, Dependency Injection cung cấp đối tượng cần thiết cho class  ✓
B. Dependency Injection tạo ra instance của Repository, Repository thực hiện truy vấn cơ sở dữ liệu
C. Repository lưu trữ logic kinh doanh, Dependency Injection quản lý lifecycle của object
D. Repository và Dependency Injection đều không liên quan đến CQRS",,,,,,,,
20,v3_fewshot,dev_dotnet_senior,Xử lý vấn đề concurrency,"Khi thực hiện giao dịch ngân hàng trong ứng dụng .NET, bạn cần đảm bảo tính nhất quán và tránh xung đột giữa các giao dịch. Cách nào sau đây không phải là giải pháp hiệu quả để xử lý vấn đề này?
A. Sử dụng TransactionScope
B. Thực hiện locking trên đối tượng chung  ✓
C. Sử dụng Entity Framework's SaveChangesWithOriginalValues
D. Sử dụng乐观锁（Optimistic Locking）",,,,,,,,
21,v3_fewshot,frontend_react_mid,Tối ưu render React,"Khi sử dụng React.memo() trong component, điều gì sẽ xảy ra nếu props của component thay đổi?
A. Component sẽ được render lại  ✓
B. Component sẽ không được render lại
C. Component sẽ bị xóa khỏi bộ nhớ
D. Component sẽ tự động cập nhật state",,,,,,,,
22,v3_fewshot,frontend_react_mid,Tối ưu render React,"Trong React, phương thức nào sau đây giúp tối ưu hóa hiệu suất khi sử dụng hooks?
A. useState()
B. useEffect()
C. useMemo()  ✓
D. useCallback()",,,,,,,,
23,v3_fewshot,frontend_react_mid,Viết test bằng Jest/React Testing Library,"Khi sử dụng Jest và React Testing Library để viết test cho một component React đơn giản hiển thị tên người dùng, bạn cần kiểm tra gì để đảm bảo component hoạt động như mong đợi?
A. Kiểm tra xem component có được render không
B. Kiểm tra xem component có hiển thị tên người dùng đúng không  ✓
C. Kiểm tra xem component có thay đổi màu sắc khi kích thước màn hình thay đổi
D. Kiểm tra xem component có gửi request API không",,,,,,,,
