id,tieu_chi,nhan,ghi_chu
J01_ke_toan,Tốt nghiệp Cao đẳng trở lên chuyên ngành Kế toán - Kiểm toán,,
J01_ke_toan,Có tối thiểu 2 năm kinh nghiệm ở vị trí kế toán tổng hợp,,
J01_ke_toan,Nắm vững chế độ kế toán và luật thuế hiện hành,,
J01_ke_toan,Sử dụng thành thạo phần mềm kế toán MISA hoặc Fast,,
J01_ke_toan,"Thành thạo Excel (hàm SUMIF, VLOOKUP, PivotTable)",,
J01_ke_toan,Cẩn thận,,
J01_ke_toan,Trung thực,,
J01_ke_toan,Chịu được áp lực mùa quyết toán,,
J02_kinh_doanh,Kinh nghiệm bán hàng B2B,,
J02_kinh_doanh,Kỹ năng đàm phán và thuyết phục,,
J02_kinh_doanh,"Kỹ năng giao tiếp, xây dựng quan hệ khách hàng",,
J02_kinh_doanh,Chủ động tìm kiếm khách hàng mới,,
J02_kinh_doanh,Có thể chịu được áp lực doanh số,,
J02_kinh_doanh,Đã có tệp khách hàng ngành xây dựng (ưu tiên),,
J03_kho_van,Tốt nghiệp THPT trở lên,,
J03_kho_van,"Sức khỏe tốt, có thể làm việc theo ca",,
J03_kho_van,"Biết sử dụng máy tính văn phòng cơ bản (Word, Excel)",,
J03_kho_van,"Cẩn thận, trung thực trong kiểm đếm hàng hóa",,
J03_kho_van,Kinh nghiệm vận hành xe nâng,,
J03_kho_van,Quản lý kho,,
J03_kho_van,Kiểm kê,,
J03_kho_van,Kỹ năng sử dụng Excel,,
J04_dotnet,Kinh nghiệm với C#,,
J04_dotnet,Kinh nghiệm với ASP.NET Core,,
J04_dotnet,Kinh nghiệm với Entity Framework,,
J04_dotnet,Kinh nghiệm với REST API,,
J04_dotnet,Kinh nghiệm với kiến trúc microservices,,
J04_dotnet,Thành thạo SQL Server,,
J04_dotnet,Viết được stored procedure,,
J04_dotnet,Sử dụng được Git trong quy trình làm việc nhóm,,
J04_dotnet,Tiếng Anh đọc hiểu tài liệu kỹ thuật,,
J04_dotnet,"Tư duy phân tích, giải quyết vấn đề độc lập",,
J05_hanh_chinh,"Tốt nghiệp Đại học các ngành Quản trị nhân lực, Luật hoặc tương đương",,
J05_hanh_chinh,Có 1 năm kinh nghiệm ở vị trí hành chính nhân sự,,
J05_hanh_chinh,"Nắm được quy định về BHXH, hợp đồng lao động",,
J05_hanh_chinh,Thành thạo Word,,
J05_hanh_chinh,Thành thạo Excel,,
J05_hanh_chinh,Biết dùng phần mềm chấm công,,
J05_hanh_chinh,Kỹ năng giao tiếp tốt,,
J05_hanh_chinh,Kỹ năng sắp xếp công việc tốt,,
J05_hanh_chinh,"Cẩn thận, bảo mật thông tin",,
J06_le_tan,Ngoại hình ưa nhìn,,
J06_le_tan,Chiều cao từ 1m60 trở lên,,
J06_le_tan,Tiếng Anh giao tiếp tốt,,
J06_le_tan,Biết thêm tiếng Trung hoặc Hàn,,
J06_le_tan,Kỹ năng giao tiếp,,
J06_le_tan,Kỹ năng xử lý tình huống với khách khó tính,,
J06_le_tan,"Có thể làm việc theo ca, kể cả cuối tuần và lễ tết",,
J06_le_tan,Có kinh nghiệm làm lễ tân khách sạn 3 sao trở lên,,
J07_marketing,Kinh nghiệm chạy quảng cáo Facebook Ads,,
J07_marketing,Kinh nghiệm chạy quảng cáo Google Ads,,
J07_marketing,Viết nội dung bán hàng bằng tiếng Việt mạch lạc,,
J07_marketing,Sử dụng Canva hoặc Photoshop ở mức cơ bản,,
J07_marketing,Đọc hiểu số liệu và sử dụng Google Analytics,,
J07_marketing,"Sáng tạo, chủ động đề xuất ý tưởng",,
J10_qua_nhieu,Kinh nghiệm phát triển phần mềm,,
J10_qua_nhieu,Kinh nghiệm dẫn dắt nhóm,,
J10_qua_nhieu,Thành thạo Java hoặc C#,,
J10_qua_nhieu,Kinh nghiệm thiết kế kiến trúc hệ thống phân tán,,
J10_qua_nhieu,Nắm vững cơ sở dữ liệu quan hệ và tối ưu truy vấn,,
J10_qua_nhieu,"Kinh nghiệm với Docker, Kubernetes",,
J10_qua_nhieu,Hiểu quy trình Agile/Scrum,,
J10_qua_nhieu,Kỹ năng giao tiếp và thuyết trình tốt,,
J10_qua_nhieu,"Kỹ năng huấn luyện, kèm cặp thành viên mới",,
J10_qua_nhieu,Tiếng Anh giao tiếp được với khách hàng nước ngoài,,
