STT,Version,JD_id,Skill,Câu hỏi (đầy đủ),Correctness,Relevance,Distractor,Tình huống,Rõ ràng,Điểm TB,Đạt,Ghi chú
1,v2_skill_extraction,dev_dotnet_junior,C# OOP,"Trong C#, lớp nào sau đây là lớp gốc nhất và từ đó tất cả các lớp khác kế thừa?
A. System.Object  ✓
B. System.Class
C. BaseClass
D. RootClass",,,,,,,,
2,v2_skill_extraction,dev_dotnet_junior,C# OOP,"Trong lập trình hướng đối tượng, phương thức nào sau đây được sử dụng để khởi tạo trạng thái ban đầu của một đối tượng?
A. Initialize
B. Constructor  ✓
C. Setup
D. Start",,,,,,,,
3,v2_skill_extraction,dev_dotnet_junior,LINQ,"Trong LINQ, phương thức nào sau đây được sử dụng để lọc các phần tử trong một sequence dựa trên điều kiện?
A. Where  ✓
B. Select
C. OrderBy
D. GroupBy",,,,,,,,
4,v2_skill_extraction,dev_dotnet_junior,HTTP/REST,"Trong HTTP/REST, phương thức nào được sử dụng để tạo một tài nguyên mới?
A. GET
B. POST  ✓
C. PUT
D. DELETE",,,,,,,,
5,v2_skill_extraction,dev_dotnet_junior,"SQL SELECT, JOIN","Trong SQL, để lấy tất cả các cột từ bảng 'Customers' và 'Orders', bạn sẽ sử dụng câu lệnh nào?
A. 'SELECT * FROM Customers JOIN Orders'
B. 'SELECT * FROM Customers INNER JOIN Orders'  ✓
C. 'SELECT * FROM Customers AND Orders'
D. 'SELECT * FROM Customers LEFT JOIN Orders'",,,,,,,,
6,v2_skill_extraction,dev_dotnet_junior,"SQL SELECT, JOIN","Nếu bạn muốn lấy tất cả các khách hàng từ bảng 'Customers' và chỉ những đơn đặt hàng có cùng ID khách hàng, câu lệnh SQL nào sẽ phù hợp?
A. 'SELECT * FROM Customers JOIN Orders'
B. 'SELECT * FROM Customers INNER JOIN Orders ON Customers.CustomerID = Orders.CustomerID'  ✓
C. 'SELECT * FROM Customers LEFT JOIN Orders'
D. 'SELECT * FROM Customers RIGHT JOIN Orders'",,,,,,,,
7,v2_skill_extraction,dev_dotnet_junior,Entity Framework Core,"Trong Entity Framework Core, phương thức nào sau đây được sử dụng để thực hiện lệnh INSERT vào cơ sở dữ liệu?
A. SaveChanges()  ✓
B. Add()
C. Insert()
D. Create()",,,,,,,,
8,v2_skill_extraction,dev_dotnet_junior,API RESTful,"API RESTful tuân theo nguyên tắc nào sau đây?
A. API phải hỗ trợ cả GET, POST, PUT và DELETE
B. API chỉ nên sử dụng HTTP status code 200 OK
C. API không cần tuân theo bất kỳ nguyên tắc nào
D. API phải tuân thủ các nguyên tắc của kiến trúc REST như stateless, cacheable, client-server  ✓",,,,,,,,
9,v2_skill_extraction,dev_dotnet_junior,Git,"Trong Git, lệnh nào sau đây được sử dụng để ghi nhận các thay đổi trong repository?
A. git commit  ✓
B. git push
C. git pull
D. git clone",,,,,,,,
10,v2_skill_extraction,dev_dotnet_junior,Unit Testing,"Trong Unit Testing, phương pháp nào sau đây không phải là một trong những công cụ phổ biến để thực hiện các bài kiểm thử đơn vị cho mã .NET?
A. NUnit
B. MSTest
C. Junit  ✓
D. xUnit",,,,,,,,
