STT,Version,JD_id,Skill,Câu hỏi (đầy đủ),Correctness,Relevance,Distractor,Tình huống,Rõ ràng,Điểm TB,Đạt,Ghi chú
1,v1_baseline,dev_dotnet_junior,,"Ngôn ngữ lập trình chính được sử dụng trong vị trí này là gì?
A. Python
B. Java
C. C#  ✓
D. JavaScript",,,,,,,,
2,v1_baseline,dev_dotnet_junior,,"Một yêu cầu kỹ thuật quan trọng để ứng tuyển vào vị trí này là gì?
A. Nắm vững SQL Server
B. Hiểu về HTTP/REST  ✓
C. Có kinh nghiệm với Vue.js
D. Biết Node.js",,,,,,,,
3,v1_baseline,dev_dotnet_junior,,"Ứng viên cần nắm vững kiến thức nào trong C# để ứng tuyển?
A. LINQ  ✓
B. HTML
C. CSS
D. JavaScript",,,,,,,,
4,v1_baseline,dev_dotnet_junior,,"Đối với vị trí này, ứng viên đã làm gì sẽ được ưu tiên?
A. Thực tập tại công ty khác
B. Làm đồ án hoặc thực tập có sản phẩm thực tế  ✓
C. Học lập trình tự do
D. Xây dựng website cá nhân",,,,,,,,
5,v1_baseline,dev_dotnet_junior,,"Ứng viên cần viết unit test cho các hàm được giao, công cụ nào thường được sử dụng trong vị trí này?
A. Selenium
B. NUnit  ✓
C. React
D. Angular",,,,,,,,
6,v1_baseline,dev_dotnet_junior,,"Một ứng viên có thể viết API RESTful cơ bản cho vị trí này, HTTP/REST là gì?
A. Một loại ngôn ngữ lập trình
B. Phương thức truyền dữ liệu qua mạng internet
C. Mô hình thiết kế web  ✓
D. Công cụ quản lý dự án",,,,,,,,
7,v1_baseline,dev_dotnet_junior,,"Ứng viên cần sử dụng công cụ nào để quản lý mã nguồn?
A. Git  ✓
B. SVN
C. TFS
D. Bitbucket",,,,,,,,
8,v1_baseline,dev_dotnet_junior,,"Một yêu cầu kỹ thuật quan trọng khác đối với vị trí này là gì?
A. Nắm vững JavaScript
B. Hiểu về Entity Framework Core  ✓
C. Có kinh nghiệm với Angular
D. Biết Node.js",,,,,,,,
9,v1_baseline,dev_dotnet_junior,,"Ứng viên cần viết API RESTful cơ bản, trong đó HTTP/REST là gì?
A. Một loại ngôn ngữ lập trình
B. Phương thức truyền dữ liệu qua mạng internet  ✓
C. Mô hình thiết kế web
D. Công cụ quản lý dự án",,,,,,,,
10,v1_baseline,dev_dotnet_junior,,"Ứng viên cần viết unit test cho các hàm được giao, công cụ nào thường được sử dụng trong vị trí này?
A. Selenium
B. NUnit  ✓
C. React
D. Angular",,,,,,,,
11,v1_baseline,dev_dotnet_senior,,"Ứng viên cần có bao nhiêu năm kinh nghiệm với C#/.NET để đáp ứng yêu cầu của vị trí?
A. 1 năm
B. 2 năm
C. 4+ năm
D. 6 năm  ✓",,,,,,,,
12,v1_baseline,dev_dotnet_senior,,"Trong Entity Framework Core, phương pháp nào được sử dụng để tối ưu truy vấn và tránh N+1 query?
A. Include()  ✓
B. AsNoTracking()
C. Load()
D. ThenInclude()",,,,,,,,
13,v1_baseline,dev_dotnet_senior,,"Pattern nào sau đây không phải là một trong những pattern mà ứng viên cần áp dụng khi thiết kế API?
A. CQRS
B. Repository
C. Singleton  ✓
D. Dependency Injection",,,,,,,,
14,v1_baseline,dev_dotnet_senior,,"Ứng viên cần có hiểu biết sâu về khái niệm nào dưới đây để xử lý concurrency hiệu quả?
A. Synchronous programming
B. Thread safety
C. Asynchronous programming
D. Deadlocks  ✓",,,,,,,,
15,v1_baseline,dev_dotnet_senior,,"Trong quản lý bộ nhớ, phương pháp nào sau đây không được đề cập trong JD?
A. Garbage collection
B. Memory leak detection
C. Heap allocation  ✓
D. Stack overflow prevention",,,,,,,,
16,v1_baseline,dev_dotnet_senior,,"Ứng viên cần có kinh nghiệm với công nghệ nào để tối ưu truy vấn Entity Framework Core và SQL Server?
A. Redis
B. SQL Server indexing  ✓
C. Message queue
D. Caching",,,,,,,,
17,v1_baseline,dev_dotnet_senior,,"Pattern nào sau đây không được đề cập trong JD khi thiết kế API?
A. CQRS
B. Repository
C. Dependency Injection
D. Observer pattern  ✓",,,,,,,,
18,v1_baseline,dev_dotnet_senior,,"Ứng viên cần có hiểu biết về quản lý bộ nhớ nào để tối ưu hiệu năng hệ thống microservices?
A. Memory leak detection
B. Garbage collection tuning  ✓
C. Heap allocation optimization
D. Stack size adjustment",,,,,,,,
19,v1_baseline,dev_dotnet_senior,,"Trong JD, ứng viên cần có kinh nghiệm với pattern nào để xử lý vấn đề concurrency?
A. CQRS
B. Repository
C. Dependency Injection
D. Thread safety  ✓",,,,,,,,
20,v1_baseline,dev_dotnet_senior,,"Ứng viên cần có hiểu biết về transaction isolation level nào để đảm bảo tính nhất quán của hệ thống?
A. Read uncommitted
B. Read committed
C. Repeatable read  ✓
D. Serializable",,,,,,,,
21,v1_baseline,frontend_react_mid,,"Component nào trong React không cần quản lý state?
A. Function Component
B. Class Component
C. Stateless Functional Component  ✓
D. Hook",,,,,,,,
22,v1_baseline,frontend_react_mid,,"Redux và Context API đều được sử dụng để quản lý gì trong React?
A. State  ✓
B. Props
C. Events
D. CSS",,,,,,,,
23,v1_baseline,frontend_react_mid,,"Một phương pháp tối ưu render trong React là gì?
A. setState()
B. useEffect()
C. useMemo()  ✓
D. useState()",,,,,,,,
24,v1_baseline,frontend_react_mid,,"React Testing Library và Jest đều được sử dụng để làm gì?
A. Xử lý state
B. Tích hợp API
C. Viết test  ✓
D. Quản lý component",,,,,,,,
25,v1_baseline,frontend_react_mid,,"Virtual DOM là gì trong React?
A. Một loại state
B. Một phương thức render
C. Một kỹ thuật tối ưu hóa  ✓
D. Một hook",,,,,,,,
26,v1_baseline,frontend_react_mid,,"Hooks useState và useEffect đều được sử dụng để làm gì?
A. Xử lý state  ✓
B. Tích hợp API
C. Viết test
D. Quản lý component",,,,,,,,
27,v1_baseline,frontend_react_mid,,"Responsive design trong web phát triển có nghĩa là gì?
A. Thiết kế cho một kích thước màn hình cụ thể
B. Thiết kế cho nhiều kích thước màn hình khác nhau  ✓
C. Chỉ thiết kế cho desktop
D. Không cần quan tâm đến kích thước màn hình",,,,,,,,
28,v1_baseline,frontend_react_mid,,"Cross-browser là gì?
A. Kiểm tra tính năng của trình duyệt
B. Thiết kế cho nhiều trình duyệt khác nhau  ✓
C. Tích hợp API giữa các trình duyệt
D. Xử lý state giữa các trình duyệt",,,,,,,,
29,v1_baseline,frontend_react_mid,,"Một phương pháp tối ưu hóa hiệu năng frontend không bao gồm?
A. Memoization
B. Lazy loading
C. Virtual DOM
D. CSS Grid  ✓",,,,,,,,
30,v1_baseline,frontend_react_mid,,"CSS Flexbox và Grid đều được sử dụng để làm gì?
A. Xử lý state
B. Tích hợp API
C. Thiết kế layout  ✓
D. Viết test",,,,,,,,
31,v1_baseline,data_engineer_senior,,"Trong mô tả công việc, ứng viên cần có bao nhiêu năm kinh nghiệm?
A. 1
B. 2
C. 3
D. 4+  ✓",,,,,,,,
32,v1_baseline,data_engineer_senior,,"Ứng viên cần thành thạo ngôn ngữ lập trình nào để viết job xử lý batch và streaming?
A. Java
B. C++
C. Python  ✓
D. JavaScript",,,,,,,,
33,v1_baseline,data_engineer_senior,,"Mô hình dữ liệu nào được đề cập trong mô tả công việc?
A. Entity-Relationship Diagram (ERD)
B. Star Schema  ✓
C. E-R Model
D. Relational Model",,,,,,,,
34,v1_baseline,data_engineer_senior,,"Ứng viên cần có kinh nghiệm với công cụ orchestrator nào?
A. Kubernetes
B. Docker
C. Airflow  ✓
D. Jenkins",,,,,,,,
35,v1_baseline,data_engineer_senior,,"Trong SQL nâng cao, ứng viên cần nắm vững các tính năng nào?
A. Window function
B. CTE
C. Joins
D. All of the above  ✓",,,,,,,,
36,v1_baseline,data_engineer_senior,,"Ứng viên cần hiểu về kiến trúc phân tán và kỹ thuật gì liên quan?
A. Load balancing
B. Caching
C. Partitioning  ✓
D. Replication",,,,,,,,
37,v1_baseline,data_engineer_senior,,"Kỹ thuật nào được đề cập để tối ưu truy vấn trên kho dữ liệu?
A. Indexing  ✓
B. Normalization
C. Denormalization
D. Sharding",,,,,,,,
38,v1_baseline,data_engineer_senior,,"Ứng viên cần có kinh nghiệm với định dạng cột nào?
A. JSON
B. XML
C. Parquet  ✓
D. CSV",,,,,,,,
39,v1_baseline,data_engineer_senior,,"Trong mô tả công việc, ứng viên cần thiết kế và vận hành gì?
A. Data pipeline (ETL/ELT)  ✓
B. Web application
C. Mobile application
D. Database schema",,,,,,,,
40,v1_baseline,data_engineer_senior,,"Ứng viên có trách nhiệm quản lý chất lượng dữ liệu như thế nào?
A. Through data validation and cleaning processes  ✓
B. By implementing user interfaces
C. By developing marketing strategies
D. By creating financial reports",,,,,,,,
41,v1_baseline,ketoan_tonghop_mid,,"Nguyên lý nào sau đây là nguyên lý cơ bản của kế toán kép?
A. Nguyên lý kế toán
B. Nguyên lý kế toán kép  ✓
C. Nguyên lý tài chính
D. Nguyên lý quản trị",,,,,,,,
42,v1_baseline,ketoan_tonghop_mid,,"Ứng viên cần nắm vững về các tài khoản kế toán để thực hiện công việc, trong số các tài khoản sau đây, tài khoản nào không thuộc nhóm tài khoản doanh thu?
A. Tài khoản Doanh thu từ bán hàng
B. Tài khoản Chi phí bán hàng  ✓
C. Tài khoản Thu nhập khác
D. Tài khoản Doanh thu từ cung cấp dịch vụ",,,,,,,,
43,v1_baseline,ketoan_tonghop_mid,,"Ứng viên cần thành thạo phần mềm kế toán để thực hiện công việc, trong số các phần mềm sau đây, phần mềm nào không thuộc nhóm phần mềm kế toán?
A. MISA
B. Fast
C. Excel  ✓
D. FPT Accounting",,,,,,,,
44,v1_baseline,ketoan_tonghop_mid,,"Theo Thông tư 200, báo cáo tài chính bao gồm những thông tin gì?
A. Bảng cân đối kế toán và Bảng lưu chuyển tiền tệ
B. Bảng cân đối kế toán, Báo cáo kết quả hoạt động kinh doanh và Báo cáo lưu chuyển tiền tệ
C. Bảng cân đối kế toán, Báo cáo lưu chuyển tiền tệ và Báo cáo lưu chuyển ngoại tệ
D. Bảng cân đối kế toán, Báo cáo lưu chuyển tiền tệ, Báo cáo lưu chuyển ngoại tệ và Báo cáo tài chính khác  ✓",,,,,,,,
45,v1_baseline,ketoan_tonghop_mid,,"Ứng viên cần hiểu quy định thuế hiện hành để thực hiện công việc, trong số các loại thuế sau đây, loại thuế nào không thuộc nhóm thuế doanh nghiệp?
A. Thuế thu nhập doanh nghiệp
B. Thuế giá trị gia tăng
C. Thuế tiêu thụ đặc biệt
D. Thuế môn bài  ✓",,,,,,,,
