STT,Version,JD_id,Skill,Câu hỏi (đầy đủ),Correctness,Relevance,Distractor,Tình huống,Rõ ràng,Điểm TB,Đạt,Ghi chú
1,v4_situational,dev_dotnet_junior,C# OOP,"Bạn đang phát triển một ứng dụng quản lý thư viện. Bạn cần tạo một lớp `Sach` (Sách) để lưu thông tin sách, trong đó có các thuộc tính như `MaSach`, `TenSach`, `TacGia`. Để đảm bảo `MaSach` luôn duy nhất, bạn nên sử dụng phương thức nào sau đây?
A. Tạo một phương thức `SetMaSach()` để gán giá trị cho `MaSach`
B. Thêm thuộc tính `MaSach` làm thuộc tính chỉ đọc (`readonly`) và khởi tạo trong constructor  ✓
C. Thêm phương thức `GetMaSach()` để trả về giá trị của `MaSach`
D. Tạo một phương thức `CheckMaSachUniqueness()` để kiểm tra sự duy nhất của `MaSach`",,,,,,,,
2,v4_situational,dev_dotnet_junior,C# OOP,"Bạn đang thiết kế lớp `NhanVien` và muốn đảm bảo rằng mỗi nhân viên chỉ có một địa chỉ email duy nhất. Bạn nên sử dụng thuộc tính nào sau đây để thực hiện điều này?
A. Tạo một phương thức `SetEmail()` để gán giá trị cho `Email`
B. Thêm thuộc tính `Email` làm thuộc tính chỉ đọc (`readonly`) và khởi tạo trong constructor  ✓
C. Thêm phương thức `GetEmail()` để trả về giá trị của `Email`
D. Tạo một phương thức `CheckEmailUniqueness()` để kiểm tra sự duy nhất của `Email`",,,,,,,,
3,v4_situational,dev_dotnet_junior,LINQ,"Bạn cần lấy danh sách các sản phẩm có giá bán trên 100.000 VND từ bảng Products, nhưng chỉ muốn hiển thị tên và giá của chúng. Cách viết LINQ đúng là gì?
A. var result = from p in Products where p.Price > 100000 select new { Name, Price };
B. var result = from p in Products where p.Price < 100000 select new { p.Name, p.Price };
C. var result = from p in Products where p.Price > 100000 select p;
D. var result = from p in Products where p.Price > 100000 select new { p.Name, p.Price };  ✓",,,,,,,,
4,v4_situational,dev_dotnet_junior,HTTP/REST,"Một ứng dụng RESTful API của bạn nhận được nhiều yêu cầu GET từ một client không tin cậy, dẫn đến việc sử dụng quá nhiều tài nguyên. Cách tốt nhất để giải quyết vấn đề này là gì?
A. Tăng số lượng CPU trên máy chủ
B. Thêm index vào đường dẫn API
C. Thiết lập giới hạn rate cho các request GET  ✓
D. Chuyển đổi tất cả các phương thức HTTP sang POST",,,,,,,,
5,v4_situational,dev_dotnet_junior,HTTP/REST,"Bạn nhận được yêu cầu từ một client muốn cập nhật thông tin của một sản phẩm trong hệ thống. Sản phẩm này có nhiều thuộc tính, nhưng chỉ cần cập nhật giá và tên. Cách tốt nhất để thực hiện yêu cầu này là gì?
A. Sử dụng phương thức PUT với tất cả các thuộc tính
B. Sử dụng phương thức POST với toàn bộ thông tin sản phẩm
C. Sử dụng phương thức PATCH với chỉ những thuộc tính cần thay đổi  ✓
D. Sử dụng phương thức DELETE sau đó INSERT mới",,,,,,,,
6,v4_situational,dev_dotnet_junior,"SQL SELECT, JOIN","Có hai bảng Orders và OrderDetails. Bảng Orders chứa thông tin đơn hàng, trong khi OrderDetails lưu chi tiết từng sản phẩm trong mỗi đơn hàng. Bạn cần lấy ra danh sách các đơn hàng cùng với tổng số lượng của từng sản phẩm. Cách viết truy vấn SQL đúng là gì?
A. SELECT o.OrderId, SUM(od.Quantity) FROM Orders o JOIN OrderDetails od ON o.OrderId = od.OrderId GROUP BY o.OrderId  ✓
B. SELECT o.OrderId, od.ProductId, SUM(od.Quantity) FROM Orders o JOIN OrderDetails od ON o.OrderId = od.OrderId GROUP BY o.OrderId, od.ProductId
C. SELECT o.OrderId, SUM(od.Quantity) FROM Orders o JOIN OrderDetails od ON o.OrderId = od.OrderId GROUP BY o.OrderId, od.ProductId
D. SELECT o.OrderId, od.ProductId, SUM(od.Quantity) FROM Orders o JOIN OrderDetails od ON o.OrderId = od.OrderId GROUP BY o.OrderId",,,,,,,,
7,v4_situational,dev_dotnet_junior,"SQL SELECT, JOIN","Bảng Employees và Departments có mối quan hệ một-đa. Bạn cần lấy ra danh sách các bộ phận cùng với số lượng nhân viên trong mỗi bộ phận. Cách viết truy vấn SQL đúng là gì?
A. SELECT d.DepartmentName, COUNT(e.EmployeeId) FROM Employees e JOIN Departments d ON e.DepartmentId = d.DepartmentId GROUP BY d.DepartmentName  ✓
B. SELECT d.DepartmentName, COUNT(e.EmployeeId) FROM Employees e JOIN Departments d ON e.DepartmentId = d.DepartmentId GROUP BY e.EmployeeId
C. SELECT d.DepartmentName, COUNT(*) FROM Employees e JOIN Departments d ON e.DepartmentId = d.DepartmentId GROUP BY d.DepartmentName, e.EmployeeId
D. SELECT d.DepartmentName, COUNT(e.EmployeeId) FROM Employees e JOIN Departments d ON e.DepartmentId = d.DepartmentId GROUP BY e.DepartmentId",,,,,,,,
8,v4_situational,dev_dotnet_junior,"SQL SELECT, JOIN","Bảng Products và Suppliers có mối quan hệ nhiều-nhiều. Bạn cần lấy ra danh sách các sản phẩm cùng với tên nhà cung cấp của chúng. Cách viết truy vấn SQL đúng là gì?
A. SELECT p.ProductName, s.SupplierName FROM Products p JOIN Suppliers s ON p.SupplierId = s.SupplierId  ✓
B. SELECT p.ProductName, s.SupplierName FROM Products p JOIN Suppliers s ON p.SupplierId = s.SupplierId WHERE p.SupplierId IS NOT NULL
C. SELECT p.ProductName, s.SupplierName FROM Products p LEFT JOIN Suppliers s ON p.SupplierId = s.SupplierId
D. SELECT p.ProductName, s.SupplierName FROM Products p RIGHT JOIN Suppliers s ON p.SupplierId = s.SupplierId",,,,,,,,
9,v4_situational,dev_dotnet_junior,Entity Framework Core,"Khi sử dụng Entity Framework Core để thực hiện truy vấn, bạn nhận thấy rằng việc lặp qua một danh sách lớn của đối tượng gây ra hiệu suất kém. Cách tiếp cận tốt nhất để cải thiện hiệu suất là gì?
A. Sử dụng Include() để tải các bảng liên kết
B. Tăng kích thước bộ đệm trong DbContext
C. Thay đổi phương thức Linq thành SQL
D. Thêm chỉ mục cho các cột được sử dụng trong điều kiện WHERE  ✓",,,,,,,,
10,v4_situational,dev_dotnet_junior,Entity Framework Core,"Bạn cần tạo một quan hệ 1:N giữa bảng Orders và OrderDetails. Cách thực hiện đúng là gì?
A. Tạo một thuộc tính virtual OrderDetails[] trong class Order
B. Thêm một thuộc tính virtual ICollection<Order> trong class OrderDetails
C. Thêm một thuộc tính virtual Order trong class OrderDetails
D. Sử dụng Fluent API để cấu hình quan hệ 1:N  ✓",,,,,,,,
